iter	R2	MAE
0	-0.04109821512	0.596626053
1	-0.02727946156	0.5922035504
2	-0.01382849721	0.5877817034
3	-0.002708912461	0.5838799565
4	0.008533450042	0.5799396856
5	0.02224891736	0.5757265662
6	0.03383524722	0.5717623564
7	0.04733076834	0.5673866441
8	0.0580195687	0.5635044661
9	0.07141653264	0.5592368456
10	0.08184667637	0.5554472786
11	0.09333798284	0.5513827382
12	0.1029915462	0.5477341518
13	0.1149612475	0.5437513175
14	0.1244934266	0.5401300017
15	0.1348299121	0.5364683751
16	0.1437192362	0.5329552372
17	0.153078565	0.5294418563
18	0.1626930152	0.5258520059
19	0.1709238709	0.5225945564
20	0.1793344888	0.5193544755
21	0.1890356445	0.515799239
22	0.1997974805	0.5120679958
23	0.2091095111	0.5085768493
24	0.2171623194	0.5053011798
25	0.2249278444	0.5022621766
26	0.2324351176	0.4992125212
27	0.2401696441	0.495958962
28	0.248966981	0.4924113835
29	0.2591819083	0.4886329408
30	0.2659650674	0.4857554221
31	0.2729809103	0.4827116073
32	0.2804556978	0.479525955
33	0.2867877765	0.476811141
34	0.2929676456	0.4740334476
35	0.2992217106	0.4712679
36	0.3094790122	0.4674327097
37	0.3161960088	0.4646482772
38	0.3224943542	0.4619517148
39	0.3281218774	0.4594357934
40	0.3342177818	0.4567090612
41	0.3403221329	0.4540458087
42	0.3464563683	0.4513997218
43	0.3520493239	0.4488621391
44	0.3572227686	0.4465138795
45	0.3627101749	0.4440187905
46	0.3684264848	0.4413864758
47	0.3739108613	0.4388810861
48	0.3788223919	0.4366393981
49	0.3839612117	0.434228475
50	0.3890191358	0.4318773583
51	0.3938652552	0.4296306993
52	0.4004121513	0.4268761751
53	0.408144644	0.4239864052
54	0.4153186832	0.4212621185
55	0.4226825498	0.4182676507
56	0.4276609654	0.4158753274
57	0.4320651266	0.4137431847
58	0.4370556735	0.4114219402
59	0.4423876263	0.4090961905
60	0.4478945557	0.4066595006
61	0.4518880069	0.4046718518
62	0.4583066531	0.4020425414
63	0.4653569154	0.3990229633
64	0.4718709269	0.3963872477
65	0.4778687509	0.3939270291
66	0.4838713296	0.3913750697
67	0.4890226097	0.3891148723
68	0.4931190796	0.387111876
69	0.4984701185	0.3848582615
70	0.5034698815	0.3826909382
71	0.5076772149	0.3806182041
72	0.5125153205	0.3785826935
73	0.5185708622	0.3759818072
74	0.5222947278	0.3741384894
75	0.5256394434	0.3724328335
76	0.5300239644	0.3703627664
77	0.5337066919	0.3685645822
78	0.5388631176	0.3661109379
79	0.5444546335	0.3638450215
80	0.5478785755	0.3621301418
81	0.5525859198	0.3600591226
82	0.5570865922	0.3579855698
83	0.5619675347	0.3557519327
84	0.5657519346	0.3538990726
85	0.5703002021	0.3516748206
86	0.5735346401	0.3500320811
87	0.5773814059	0.348252815
88	0.5798000342	0.3469271837
89	0.5825824055	0.3453870533
90	0.5864365027	0.3436507075
91	0.5907062521	0.3415941062
92	0.5945924371	0.3397078011
93	0.5982655295	0.3378679403
94	0.6008225556	0.3364170208
95	0.6031812826	0.3351814999
96	0.6065912899	0.3336228219
97	0.6094857461	0.3320787775
98	0.6134568597	0.3302833565
99	0.6171829043	0.3284734279
100	0.6215840254	0.3264340846
101	0.6251228844	0.3248000397
102	0.6285074846	0.3231925176
103	0.6317712251	0.3215503307
104	0.6338811681	0.3203176709
105	0.6378379014	0.3185053744
106	0.6404097893	0.317145982
107	0.6443445309	0.3154588324
108	0.6477965801	0.3137877021
109	0.650891451	0.3123069195
110	0.6548798817	0.3104696035
111	0.6566693081	0.3093983783
112	0.6594780352	0.3080574239
113	0.6626435753	0.3065270367
114	0.6660030417	0.3049533007
115	0.6679512282	0.3038715485
116	0.6713263159	0.3022797168
117	0.6739022545	0.3010332676
118	0.6755574272	0.3000277909
119	0.6781878197	0.2986881235
120	0.6802053018	0.2974725326
121	0.6837518904	0.2956815725
122	0.6864639393	0.294337082
123	0.6886528271	0.2931758264
124	0.6902664	0.292207292
125	0.6927582775	0.2908785728
126	0.6955181484	0.2894582016
127	0.698597974	0.2879420473
128	0.6999383939	0.2870949981
129	0.7019929273	0.2859759095
130	0.7043874296	0.2847092257
131	0.7068886268	0.2833859882
132	0.7091239997	0.2822440712
133	0.711898328	0.2807983652
134	0.7148556163	0.279268812
135	0.7180501723	0.2777856664
136	0.7201884824	0.2765372695
137	0.7230242864	0.2751160514
138	0.7252139186	0.2739359999
139	0.727489315	0.2726443669
140	0.7297974899	0.271369936
141	0.732725845	0.2699246119
142	0.7343971748	0.2690028713
143	0.7366694657	0.2678005104
144	0.7377178956	0.2670662049
145	0.7393690513	0.266154697
146	0.7412490574	0.2651640108
147	0.7430857571	0.2641082879
148	0.7449973985	0.2629849505
149	0.7468401893	0.2618709795
150	0.748531768	0.2609172731
151	0.7499579883	0.2600073881
152	0.751121858	0.2592133296
153	0.7526992725	0.2582732003
154	0.7548806164	0.2570553162
155	0.7564404732	0.2560879869
156	0.7575685625	0.2553461278
157	0.7603955199	0.2539019531
158	0.7614045047	0.2531981615
159	0.7632028095	0.2521504747
160	0.7646837264	0.2512369791
161	0.7660748946	0.2503942979
162	0.7670832528	0.2497485638
163	0.7685517842	0.2488544348
164	0.7700142372	0.2479141797
165	0.7718176937	0.2468837876
166	0.7736173862	0.245908096
167	0.7752982503	0.2450248477
168	0.7773624513	0.2438318166
169	0.7786561296	0.2429419766
170	0.7793949985	0.2423608143
171	0.7809556005	0.241399975
172	0.7827483474	0.2403798139
173	0.7844094233	0.2394240555
174	0.7855931302	0.2386469655
175	0.7873829936	0.2376069426
176	0.7881896722	0.2369403101
177	0.7899544041	0.2358755554
178	0.7909327673	0.235202801
179	0.7922398478	0.2343069805
180	0.7932057457	0.2336272702
181	0.7940426917	0.2329840682
182	0.7949744753	0.232301917
183	0.7959379956	0.2316510782
184	0.7976205274	0.230655538
185	0.7988561645	0.2298810347
186	0.800185158	0.2290200126
187	0.8011641899	0.2282861267
188	0.8026694221	0.2273000882
189	0.8041177628	0.2263844836
190	0.8049406127	0.2257809276
191	0.8058415539	0.2251820726
192	0.8071235958	0.2243089073
193	0.8085756144	0.2233187939
194	0.8097062626	0.2225132358
195	0.8104760483	0.2219615452
196	0.8116645854	0.2211517523
197	0.8127107194	0.2204757616
198	0.8142023858	0.2195419387
199	0.8150330518	0.2189303118
200	0.8164293866	0.2180081218
201	0.8178505947	0.2170577959
202	0.8190566689	0.216255308
203	0.8204483187	0.2152949356
204	0.8211380925	0.2147291891
205	0.8223656794	0.2139260962
206	0.8232504762	0.2132332273
207	0.8241564453	0.212576906
208	0.8253973698	0.2117479719
209	0.8268505104	0.2108084482
210	0.8280498826	0.2099594407
211	0.8290407071	0.2092626446
212	0.8302868664	0.2083570229
213	0.8312682129	0.2076349502
214	0.8318995896	0.2071181151
215	0.8328473895	0.206468151
216	0.8332605381	0.2061293317
217	0.8342930512	0.2054234659
218	0.834949752	0.2049022206
219	0.8358955502	0.2042494185
220	0.8365481755	0.2036770886
221	0.8376248314	0.2028677786
222	0.838702688	0.2020848062
223	0.8396428591	0.2014073803
224	0.8407285092	0.2007775491
225	0.8416611311	0.2001315442
226	0.8423449841	0.1995687079
227	0.8431340231	0.1989895483
228	0.8437742103	0.1984901518
229	0.844803693	0.1977697677
230	0.84537599	0.1973013339
231	0.8459824648	0.1968061709
232	0.8465682472	0.1963027241
233	0.8475775406	0.1956031598
234	0.8482588883	0.195111453
235	0.8488439346	0.1946145041
236	0.8495340428	0.1940868714
237	0.8501524262	0.1935711112
238	0.8505444544	0.1931870963
239	0.8511330797	0.1926967142
240	0.8518715025	0.1921183354
241	0.8525867239	0.1915718561
242	0.8532587238	0.1910727606
243	0.8538806274	0.1905348697
244	0.8543848864	0.1901285538
245	0.8552397296	0.1894755206
246	0.8557035209	0.1890837317
247	0.8561821748	0.1886591122
248	0.856681716	0.1882678735
249	0.8572569636	0.1878570264
250	0.8576955567	0.1874720259
251	0.85846832	0.1869118575
252	0.8590614095	0.1864692913
253	0.8597105717	0.1859253539
254	0.8603367024	0.1854069058
255	0.8607493753	0.1849923806
256	0.8615147884	0.184506611
257	0.8621763297	0.1839802608
258	0.862448243	0.1837539841
259	0.8629894864	0.1833330013
260	0.8634434337	0.1829202421
261	0.8641015604	0.1823236952
262	0.8646627959	0.1818163099
263	0.8651581799	0.1813664765
264	0.8657030237	0.180869139
265	0.8659067397	0.1806113095
266	0.8663832856	0.1802270831
267	0.8667432707	0.1798825545
268	0.8672811684	0.179429986
269	0.8675670915	0.1791514328
270	0.8681465345	0.1787273656
271	0.8685836421	0.1783227927
272	0.8689729501	0.1779189283
273	0.8695784442	0.1774198617
274	0.8699483982	0.1770237205
275	0.8705675599	0.1765596971
276	0.8711943231	0.1761079701
277	0.8715392751	0.1757569963
278	0.8722566213	0.1751935673
279	0.8726786579	0.1748504024
280	0.8729289965	0.1745425685
281	0.8737564303	0.1740156291
282	0.8742838472	0.1736807011
283	0.8747363557	0.1732429771
284	0.874875591	0.1730545458
285	0.8755289691	0.1725841631
286	0.875702415	0.1723655183
287	0.8761106225	0.1719715539
288	0.8764478459	0.1716260394
289	0.8768524167	0.1712701421
290	0.8771652627	0.1709591517
291	0.8773649406	0.1707230582
292	0.8778812872	0.1703717178
293	0.8781797209	0.1700767101
294	0.8785672386	0.1696977745
295	0.8790489699	0.1693075668
296	0.8793479163	0.1689616405
297	0.8796159603	0.1686531037
298	0.8799315788	0.1683539573
299	0.8804967899	0.1679555624
300	0.8810207796	0.1675527636
301	0.8813938519	0.1672086799
302	0.8817191196	0.1669083005
303	0.8822785078	0.1664760996
304	0.8826055118	0.1662173431
305	0.882809053	0.165982367
306	0.8833856433	0.1655402998
307	0.8834710706	0.1653873951
308	0.8837478965	0.1651249806
309	0.8839571844	0.1648704408
310	0.8842293017	0.1646146939
311	0.8845926977	0.164294101
312	0.8849511054	0.1639537439
313	0.8853388838	0.1636561338
314	0.8858518245	0.1633506789
315	0.8861692584	0.1630216742
316	0.8867069985	0.1626348331
317	0.8871750611	0.1622218785
318	0.887430424	0.1619225201
319	0.8880203013	0.161548204
320	0.8885277339	0.1611341694
321	0.8889463181	0.1607748076
322	0.8893173547	0.1604842109
323	0.8896408361	0.1602311029
324	0.8900807042	0.1598600116
325	0.8905433778	0.1594703404
326	0.8907929558	0.1592052794
327	0.8908456827	0.1590957155
328	0.8911446084	0.1588099772
329	0.8915959219	0.1584343122
330	0.8920507666	0.1580629951
331	0.8924320539	0.1577541719
332	0.8926464486	0.1575390039
333	0.8929949456	0.1572263266
334	0.8932916837	0.1569897586
335	0.8937287253	0.1565938835
336	0.8941081157	0.1562711309
337	0.8943039279	0.1560489736
338	0.8946404234	0.1557544028
339	0.8948614414	0.1555119672
340	0.8951947793	0.1551925633
341	0.8955669266	0.1548315105
342	0.8958690683	0.1545109161
343	0.8960647597	0.154263619
344	0.8962441047	0.1540337254
345	0.8964119907	0.1538306918
346	0.8968097223	0.1534706681
347	0.8969722204	0.15329313
348	0.8972978117	0.1529767987
349	0.8979683966	0.1524837685
350	0.8982716208	0.1522016897
351	0.898602494	0.1519437404
352	0.8988717038	0.1516373454
353	0.8990563536	0.1513960183
354	0.8993635674	0.1510889277
355	0.8994857762	0.1509203481
356	0.899668312	0.1506980855
357	0.899805333	0.1504967357
358	0.9000406049	0.150308475
359	0.900298553	0.1500492442
360	0.900607176	0.1497828646
361	0.9006728963	0.149687955
362	0.9007740959	0.1495473481
363	0.9011951135	0.1492177981
364	0.9013097313	0.1491050849
365	0.9013743489	0.1489869256
366	0.9016904623	0.1486986824
367	0.9019903661	0.1484448511
368	0.9023703815	0.1480492168
369	0.9025241669	0.1478566212
370	0.9026558222	0.1477277347
371	0.9028963986	0.1474945254
372	0.9031513132	0.1472149935
373	0.9037603641	0.1467557977
374	0.9038480905	0.1466088295
375	0.9041863095	0.1462558647
376	0.9043586484	0.146060055
377	0.9045025176	0.1459144732
378	0.9045995941	0.1457830963
379	0.9048912835	0.1454750428
380	0.9049825991	0.1453326391
381	0.9051236076	0.1451796462
382	0.9053308977	0.1449297148
383	0.9055754912	0.1446369241
384	0.9056688994	0.1445213474
385	0.9057557384	0.1443866855
386	0.9059178277	0.1442716172
387	0.9061417197	0.1440633663
388	0.9062633157	0.1439116936
389	0.9064380289	0.143731731
390	0.9065894358	0.1435899793
391	0.9067664963	0.1433650619
392	0.9070235004	0.1430906607
393	0.9072213589	0.1428794713
394	0.9075197075	0.1425718438
395	0.9078594128	0.1422806289
396	0.9082239831	0.141947818
397	0.9084022082	0.141761605
398	0.9085429897	0.1416061053
399	0.9087337519	0.1414479058
400	0.9089326556	0.1412259743
401	0.909231004	0.1409786461
402	0.9093818791	0.1408202956
403	0.9095837946	0.1405692083
404	0.9097068329	0.1404034762
405	0.9100542277	0.1400692277
406	0.9101949612	0.1398812338
407	0.9102199099	0.1398275342
408	0.9103590213	0.1396372906
409	0.9105789142	0.1394057477
410	0.910748522	0.1391871986
411	0.9108473489	0.1390690795
412	0.9109122513	0.1389864515
413	0.911105916	0.1387784673
414	0.9112592806	0.1386389047
415	0.9113884297	0.1385111701
416	0.9117279445	0.1383480036
417	0.9118144833	0.1382403607
418	0.9119283256	0.1380937272
419	0.9119645514	0.1379953408
420	0.9120216656	0.1378953908
421	0.9122863047	0.1376101733
422	0.912472813	0.1374267827
423	0.9127267207	0.1371684823
424	0.9127785508	0.1370686656
425	0.9128610987	0.1369437805
426	0.9130006662	0.1368238756
427	0.9131771185	0.1365828825
428	0.9132514723	0.1364540814
429	0.9134647136	0.1362372262
430	0.9135241256	0.1361461787
431	0.9136844544	0.135966531
432	0.9138981573	0.135774463
433	0.9140081618	0.1356586234
434	0.9142463237	0.1354196675
435	0.9144066692	0.1352777805
436	0.9145178659	0.1351472289
437	0.914639054	0.1350363776
438	0.9149274551	0.1347508866
439	0.9150680682	0.1345550121
440	0.9152538273	0.1343669831
441	0.915375454	0.1342287923
442	0.9154173395	0.1341453146
443	0.9155861937	0.1340240438
444	0.9157173408	0.1338582805
445	0.9159695142	0.1336802724
446	0.9161393024	0.133472945
447	0.9164228614	0.1332787228
448	0.9164340345	0.1332329183
449	0.916571497	0.1330556543
450	0.9166446231	0.1329416046
451	0.9167249976	0.1328035476
452	0.9169456837	0.1325434145
453	0.917110421	0.1323595672
454	0.9171736513	0.1322656035
455	0.9172497188	0.1321501012
456	0.9173088548	0.1320947313
457	0.9173917611	0.1319860995
458	0.9175065438	0.131848098
459	0.917648781	0.1316815894
460	0.9177231064	0.1315744435
461	0.9178927281	0.1314484951
462	0.917970451	0.1313363941
463	0.9181033427	0.1312015883
464	0.9183096393	0.1309849369
465	0.9184582472	0.1308137596
466	0.9184753265	0.1307755748
467	0.9186122293	0.1307004922
468	0.9186571766	0.1306359615
469	0.9187327247	0.130541159
470	0.9187627743	0.1304728574
471	0.9189443374	0.1303742587
472	0.9191795417	0.1301671524
473	0.9192389577	0.1300661819
474	0.9194834846	0.12985821
475	0.9195041562	0.1298010321
476	0.919621189	0.1296480263
477	0.9197097599	0.1295206971
478	0.9198267188	0.1294234333
479	0.9200198899	0.1292409974
480	0.9201968075	0.1290576418
481	0.9203068492	0.128971348
482	0.9203888216	0.128879107
483	0.9204669989	0.1287731436
484	0.9207603718	0.1286379366
485	0.920892725	0.1284768528
486	0.9210070173	0.1282870982
487	0.921110008	0.1281563267
488	0.9212080067	0.1280250397
489	0.9213642646	0.1278594587
490	0.9214962038	0.1276913547
491	0.9215022744	0.1276781601
492	0.9216499123	0.127523638
493	0.9217816636	0.1273497784
494	0.9218002038	0.127304593
495	0.9218698835	0.127200903
496	0.9219662905	0.1270957284
497	0.9220071144	0.1270194667
498	0.9220659679	0.1269172759
499	0.9221440429	0.126786723
500	0.9222084608	0.1266845725
501	0.9222934609	0.1265380619
502	0.9224202263	0.1263913419
503	0.9224640177	0.1263220186
504	0.9225543308	0.1262057542
